Date,Commodity,Total Value
01-Jan-2020,apple,3177.12
01-Jan-2020,banana,2311.69
01-Jan-2020,beans (french),84.40
01-Jan-2020,brinjal,1220.10
01-Jan-2020,cabbage,2416.28
01-Jan-2020,carrot,1788.76
01-Jan-2020,cauliflower,3946.88
01-Jan-2020,coconut,40407.45
01-Jan-2020,dhania,325.10
01-Jan-2020,dry chillies,258.70
01-Jan-2020,garlic,1494.09
01-Jan-2020,ginger,1517.08
01-Jan-2020,gourd (bottle),706.41
01-Jan-2020,gram,267.70
01-Jan-2020,green chilli,1830.92
01-Jan-2020,ground nut seed,181.30
01-Jan-2020,groundnut,6254.54
01-Jan-2020,jeera,499.92
01-Jan-2020,ladys finger (bhindi),251.64
01-Jan-2020,lemon,255.83
01-Jan-2020,mango,2.80
01-Jan-2020,masoor,173.40
01-Jan-2020,moong,259.50
01-Jan-2020,mustard,1981.58
01-Jan-2020,onion,24402.13
01-Jan-2020,parwal (pointed gourd),78.92
01-Jan-2020,peas (green),225.00
01-Jan-2020,potato,17989.54
01-Jan-2020,rice,10053.70
01-Jan-2020,safflower,0
01-Jan-2020,"sesamum (sesame, gingelly, til)",572.46
01-Jan-2020,soyabean,9624.17
01-Jan-2020,spinach,4124.15
01-Jan-2020,sugar,428.90
01-Jan-2020,sunflower,95.00
01-Jan-2020,tomato,4917.77
01-Jan-2020,turmeric,398.53
01-Jan-2020,tur,783.35
01-Jan-2020,urad,249.00
01-Jan-2020,wheat,10164.34
02-Jan-2020,apple,2528.40
02-Jan-2020,banana,2795.72
02-Jan-2020,beans (french),59.82
02-Jan-2020,brinjal,1522.93
02-Jan-2020,cabbage,2289.25
02-Jan-2020,carrot,1605.17
02-Jan-2020,cauliflower,4213.49
02-Jan-2020,coconut,43961.47
02-Jan-2020,dhania,354.80
02-Jan-2020,dry chillies,1294.70
02-Jan-2020,garlic,1625.21
02-Jan-2020,ginger,1159.11
02-Jan-2020,gourd (bottle),1290.32
02-Jan-2020,gram,198.90
02-Jan-2020,green chilli,1868.74
02-Jan-2020,ground nut seed,193.40
02-Jan-2020,groundnut,5392.79
02-Jan-2020,jeera,710.88
02-Jan-2020,ladys finger (bhindi),1009.12
02-Jan-2020,lemon,207.13
02-Jan-2020,mango,4.20
02-Jan-2020,masoor,117.16
02-Jan-2020,moong,96.00
02-Jan-2020,mustard,3424.22
02-Jan-2020,onion,24552.06
02-Jan-2020,parwal (pointed gourd),86.82
02-Jan-2020,peas (green),383.20
02-Jan-2020,potato,23528.94
02-Jan-2020,rice,11314.61
02-Jan-2020,safflower,1.00
02-Jan-2020,"sesamum (sesame, gingelly, til)",785.27
02-Jan-2020,soyabean,18168.40
02-Jan-2020,spinach,4883.37
02-Jan-2020,sugar,39.00
02-Jan-2020,sunflower,88.00
02-Jan-2020,tomato,5621.72
02-Jan-2020,turmeric,2467.73
