value,last_update_time,forecast_date,type,indicator,period
4.1,6/6/2025,6/1/2025,Annual,Core,Next Fiscal Year
3.3,6/6/2025,6/1/2025,Quarterly,Headline,Next Quarter
3.3,6/6/2025,6/1/2025,Quarterly,Headline,Current Quarter
4.4,6/6/2025,6/1/2025,Quarterly,Core,Next 3 Quarters
3.8,6/6/2025,6/1/2025,Annual,Core,Current Fiscal Year
4.2,6/6/2025,6/1/2025,Annual,Core,Next Fiscal Year
4.3,6/6/2025,6/1/2025,Quarterly,Core,Next Quarter
4.3,6/6/2025,6/1/2025,Quarterly,Core,Current Quarter
4.4,6/6/2025,6/1/2025,Quarterly,Headline,Next 3 Quarters
4.2,6/6/2025,6/1/2025,Quarterly,Core,Next 2 Quarters
3.5,6/6/2025,6/1/2025,Quarterly,Headline,Next 2 Quarters
4.3,6/6/2025,6/1/2025,Annual,Core,Current Fiscal Year
