,state,actual,normal,deviation
0,Arunachal Pradesh,145.1,348,-58
1,Assam,149.6,280.3,-47
2,Meghalaya,210,487.5,-57
3,Nagaland,101.8,207.9,-51
4,Manipur,108.9,204,-47
5,Mizoram,265,361.9,-27
6,Tripura,160.7,255.2,-37
7,Sikkim,405,341.6,19
8,West Bengal,383,296.6,29
9,Jharkhand,299,224,33
10,Bihar,218.3,216.5,1
11,Uttar Pradesh,221.7,153.1,45
12,Uttarakhand,282.5,182.4,55
13,Haryana,105.5,76.1,39
14,Chandigarh,169.2,131.4,29
15,Delhi,126,105.1,20
16,Punjab,42.2,77.7,-46
17,Himachal Pradesh,124.1,120.6,3
18,Jammu & Kashmir,50.1,95.7,-48
19,Rajasthan,121.3,63.5,91
20,Odisha,267,235.7,13
21,Madhya Pradesh,250.4,166.9,50
22,Gujarat,175.3,117.1,50
23,Dadra & Nagar Haveli And Daman & Diu,521.6,325.9,60
24,Goa,480.5,318.4,51
25,Maharashtra,225.5,180.3,25
26,Chhattisgarh,265.4,211,26
27,Andaman & Nicobar,375.2,429.5,-13
28,Andhra Pradesh,169,152.1,11
29,Telangana,294.6,158.8,85
30,Tamil Nadu,42.8,118.7,-64
31,Puducherry,75.7,130.3,-42
32,Karnataka,121.2,161.6,-25
33,Kerala,187.1,271.7,-31
34,Lakshadweep,93.2,169.7,-45
35,Ladakh,1.9,5.6,-65
